ts_code,symbol,name,counts,ab_counts,if_ab
000001.SZ,1,平安银行,1,0,0
000002.SZ,2,万科A,1,0,0
000007.SZ,7,全新好,1,18,1
000016.SZ,16,深康佳A,1,0,0
000020.SZ,20,深华发A,1,0,0
000021.SZ,21,深科技,3,0,0
000030.SZ,30,富奥股份,3,0,0
000061.SZ,61,农产品,1,0,0
000063.SZ,63,中兴通讯,1,0,0
000065.SZ,65,北方国际,2,9,1
000338.SZ,338,潍柴动力,1,0,0
000413.SZ,413,东旭光电,1,0,0
000423.SZ,423,东阿阿胶,2,0,0
000430.SZ,430,张家界,1,0,0
000520.SZ,520,长航凤凰,9,1,1
000538.SZ,538,云南白药,1,0,0
000550.SZ,550,江铃汽车,1,2,1
000591.SZ,591,太阳能,3,18,1
000625.SZ,625,长安汽车,1,0,0
000627.SZ,627,天茂集团,2,0,0
000651.SZ,651,格力电器,3,0,0
000656.SZ,656,金科股份,1,0,0
000681.SZ,681,视觉中国,1,1,1
000716.SZ,716,黑芝麻,1,0,0
000718.SZ,718,苏宁环球,1,0,0
000723.SZ,723,美锦能源,1,4,1
000725.SZ,725,京东方A,1,0,0
000783.SZ,783,长江证券,2,0,0
000802.SZ,802,北京文化,6,0,0
000858.SZ,858,五粮液,1,0,0
000876.SZ,876,新希望,1,0,0
000895.SZ,895,双汇发展,2,0,0
000928.SZ,928,中钢国际,2,19,1
000931.SZ,931,中关村,6,0,0
002024.SZ,2024,苏宁易购,1,0,0
002108.SZ,2108,沧州明珠,1,0,0
002174.SZ,2174,游族网络,1,10,1
002223.SZ,2223,鱼跃医疗,1,0,0
002230.SZ,2230,科大讯飞,1,0,0
002241.SZ,2241,歌尔股份,2,0,0
002271.SZ,2271,东方雨虹,1,0,0
002415.SZ,2415,海康威视,1,0,0
002457.SZ,2457,青龙管业,1,1,1
002460.SZ,2460,赣锋锂业,4,0,0
002486.SZ,2486,嘉麟杰,1,1,1
002555.SZ,2555,三七互娱,1,2,1
002581.SZ,2581,未名医药,1,0,0
002594.SZ,2594,比亚迪,5,0,0
002601.SZ,2601,龙蟒佰利,1,1,1
002612.SZ,2612,朗姿股份,1,19,1
002670.SZ,2670,国盛金控,1,2,1
002695.SZ,2695,煌上煌,1,0,0
002736.SZ,2736,国信证券,2,0,0
002737.SZ,2737,葵花药业,1,0,0
002773.SZ,2773,康弘药业,1,1,1
003040.SZ,3040,楚天龙,4,9,1
300024.SZ,300024,机器人,2,0,0
300059.SZ,300059,东方财富,1,0,0
300070.SZ,300070,碧水源,1,0,0
300144.SZ,300144,宋城演艺,1,0,0
300192.SZ,300192,科德教育,4,5,1
300676.SZ,300676,华大基因,1,0,0
300741.SZ,300741,华宝股份,2,0,0
300750.SZ,300750,宁德时代,4,0,0
300783.SZ,300783,三只松鼠,1,0,0
300785.SZ,300785,值得买,4,0,0
300832.SZ,300832,新产业,1,0,0
300894.SZ,300894,火星人,1,19,1
300949.SZ,300949,奥雅设计,1,18,1
300952.SZ,300952,恒辉安防,2,16,1
300959.SZ,300959,线上线下,3,9,1
600016.SH,600016,民生银行,1,0,0
600030.SH,600030,中信证券,2,0,0
600031.SH,600031,三一重工,2,0,0
600036.SH,600036,招商银行,1,0,0
600115.SH,600115,东方航空,1,0,0
600143.SH,600143,金发科技,1,0,0
600196.SH,600196,复星医药,1,0,0
600295.SH,600295,鄂尔多斯,1,14,1
600309.SH,600309,万华化学,2,0,0
600316.SH,600316,洪都航空,1,0,0
600405.SH,600405,动力源,4,3,1
600488.SH,600488,天药股份,1,0,0
600519.SH,600519,贵州茅台,6,0,0
600536.SH,600536,中国软件,1,0,0
600550.SH,600550,保变电气,1,0,0
600556.SH,600556,天下秀,1,1,1
600589.SH,600589,广东榕泰,1,1,1
600617.SH,600617,国新能源,1,0,0
600663.SH,600663,陆家嘴,1,0,0
600683.SH,600683,京投发展,1,0,0
600690.SH,600690,海尔智家,1,0,0
600733.SH,600733,北汽蓝谷,4,3,1
600745.SH,600745,闻泰科技,1,0,0
600754.SH,600754,锦江酒店,1,0,0
600760.SH,600760,中航沈飞,1,1,1
600837.SH,600837,海通证券,1,0,0
600848.SH,600848,上海临港,1,0,0
600872.SH,600872,中炬高新,1,1,1
600874.SH,600874,创业环保,1,1,1
600893.SH,600893,航发动力,2,1,1
600916.SH,600916,中国黄金,1,19,1
600918.SH,600918,中泰证券,1,1,1
600997.SH,600997,开滦股份,1,0,0
600999.SH,600999,招商证券,2,0,0
601005.SH,601005,重庆钢铁,1,3,1
601008.SH,601008,连云港,1,0,0
601012.SH,601012,隆基股份,1,2,1
601066.SH,601066,中信建投,1,0,0
601099.SH,601099,太平洋,1,2,1
601127.SH,601127,小康股份,4,3,1
601128.SH,601128,常熟银行,1,0,0
601162.SH,601162,天风证券,2,0,0
601318.SH,601318,中国平安,5,0,0
601336.SH,601336,新华保险,1,0,0
601360.SH,601360,三六零,2,0,0
601519.SH,601519,大智慧,1,0,0
601601.SH,601601,中国太保,1,0,0
601633.SH,601633,长城汽车,2,1,1
601668.SH,601668,中国建筑,1,0,0
601788.SH,601788,光大证券,1,0,0
601878.SH,601878,浙商证券,1,0,0
601916.SH,601916,浙商银行,1,0,0
601933.SH,601933,永辉超市,1,0,0
601988.SH,601988,中国银行,1,0,0
601995.SH,601995,中金公司,2,11,1
601998.SH,601998,中信银行,1,0,0
603000.SH,603000,人民网,3,0,0
603259.SH,603259,药明康德,1,0,0
603518.SH,603518,锦泓集团,2,1,1
603538.SH,603538,美诺华,1,0,0
603698.SH,603698,航天工程,1,3,1
603883.SH,603883,老百姓,2,0,0
603888.SH,603888,新华网,2,0,0
688012.SH,688012,中微公司,1,0,0
688068.SH,688068,热景生物,3,1,1
688661.SH,688661,N和林,1,4,1
688665.SH,688665,四方光电,1,18,1
